9.82E+02	0.00E+00	0.00E+00	0.00E+00
8.10E+02	0.00E+00	0.00E+00	0.00E+00
6.69E+02	0.00E+00	0.00E+00	0.00E+00
5.28E+02	0.00E+00	0.00E+00	0.00E+00
3.50E+02	0.00E+00	0.00E+00	0.00E+00
1.72E+02	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00	0.00E+00
